CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,SUBP,PILE,MEASYEAR,CONDID,SHAPECD,DENSITY,HEIGHT1,WIDTH1,LENGTH1,HEIGHT2,WIDTH2,LENGTH2,VOLCF,DRYBIO,CARBON,PPA_UNADJ,PPA_PLOT,PPA_COND,CREATED_DATE,MODIFIED_DATE,COMP_HT,DECAYCD,HORIZ_BEGNDIST,HORIZ_ENDDIST,PILE_SAMPLE_METHOD,SPCD,TRANSECT
76443728010538,59819472010538,2002,39,59,1944,4,1.0,2002,1,2,30,10,30,50,,,,3534.3,81815.5107,41398.6484142,6.0180462857,6.0180462857,7.712872998359521,2007-11-19 11:55:02,2025-01-13 08:35:17,,,,,2,,
62037147010538,66400768010538,2005,39,19,1299,3,1.0,2005,1,2,50,1,12,14,,,,65.9736,1458.850778643698,738.1784939937112,6.0180462857,6.0180462857,7.235898685813154,2006-05-03 10:42:46,2025-01-13 08:35:17,,,,,2,,
62037158010538,66400768010538,2005,39,19,1299,4,1.0,2005,1,2,20,24,10,21,,,,791.6832,17506.20934372438,8858.141927924535,6.0180462857,6.0180462857,7.235898685813154,2006-05-03 10:42:46,2025-01-13 08:35:17,,,,,2,,
62036005010538,66419770010538,2005,39,145,2326,2,1.0,2005,1,2,20,3,4,30,,,,56.5488,1360.1017148366839,688.211467707362,6.0180462857,6.7812563433781845,6.7812563433781845,2006-05-03 10:42:47,2025-01-13 08:35:17,,,,,2,,
175079441010661,76389402010538,2007,39,157,295,2,1.0,2007,2,2,20,2,3,11,0,0,0,10.36728,225.35055483728107,114.02738074766422,6.0180462857,6.0180462857,137.39831702511415,2008-12-29 10:31:57,2025-01-13 08:35:17,,,,,2,,
216421937010661,109829223010661,2008,39,35,5793,1,1.0,2008,2,4,60,4,3,13,4,3,20,118.8,2600.0230185183987,1315.6116473703098,6.0180462857,6.0180462857,27.609263050758813,2009-10-05 06:40:46,2025-01-13 08:35:17,,,,,2,,
247581383010661,168995667010661,2010,39,141,4924,4,1.0,2010,1,3,30,2,4,14,3,7,,46.1391664846827,1003.7741245947321,507.90970704493446,6.0180462857,6.0180462857,6.0180462857,2011-05-05 11:51:56,2025-01-13 08:35:17,,,,,2,,
530816788126144,375549783489998,2017,39,13,3686,3,1.0,,2,,,,,,,,,,,,,,,2018-04-17 12:05:39,2025-01-13 08:38:57,5,3,12.5,24.0,3,998,135
1312917311290487,721927197290487,2021,39,5,4827,3,1.0,,1,,,,,,,,,,,,,,,2023-05-17 13:33:53,2025-01-13 08:38:57,28,2,15.0,19.0,3,541,135
1312917722290487,721927223290487,2021,39,19,2633,2,1.0,,1,,,,,,,,,,,,,,,2023-05-17 13:33:53,2025-01-13 08:38:57,5,2,4.0,24.0,3,833,360
